time,temperature

18:43:25,69.14

18:43:26,69.63

18:43:27,69.63

18:43:28,70.12

18:43:29,70.12

18:43:30,70.61

18:43:31,70.61

18:43:32,71.09

18:43:33,71.09

18:43:34,71.09

18:43:35,71.09

18:43:36,71.58

18:43:37,71.58

18:43:38,71.09

18:43:39,72.07

18:43:40,72.07

18:43:41,71.58

18:43:42,72.56

18:43:43,72.07

18:43:44,72.56

18:43:45,73.05

18:43:46,73.05

18:43:47,73.05

18:43:48,73.05

18:43:49,72.56

18:43:50,73.05

18:43:51,73.54

18:43:52,73.54

18:43:53,73.54

18:43:54,74.02

18:43:55,73.54

18:43:56,74.51

18:43:57,74.51

18:43:58,74.51

18:43:59,74.51

18:44:00,74.51

18:44:01,75.00

18:44:02,75.49

18:44:03,74.02

18:44:04,75.49

18:44:05,75.00

18:44:06,75.98

18:44:07,75.98

18:44:08,75.98

18:44:09,75.98

18:44:10,76.46

18:44:11,76.46

18:44:12,76.95

18:44:13,76.95

18:44:14,77.93

18:44:15,76.95

18:44:16,77.44

18:44:17,76.95

18:44:18,76.95

18:44:19,77.44

18:44:20,77.93

18:44:21,78.42

18:44:22,78.42

18:44:23,78.42

18:44:24,78.42

18:44:25,78.42

18:44:26,78.42

18:44:27,78.91

18:44:28,78.42

18:44:29,78.91

18:44:30,79.39

18:44:31,79.39

18:44:32,79.88

18:44:33,79.88

18:44:34,78.91

18:44:35,80.37

18:44:36,80.37

18:44:37,80.37

18:44:38,80.86

18:44:39,80.37

18:44:40,80.86

18:44:41,81.35

18:44:42,80.86

18:44:43,81.35

18:44:44,81.84

18:44:45,81.35

18:44:46,81.84

18:44:47,81.84

18:44:48,82.32

18:44:49,82.32

18:44:50,82.81

18:44:51,82.32

18:44:52,82.81

18:44:53,82.81

18:44:54,82.32

18:44:55,82.32

18:44:56,82.81

18:44:57,83.79

18:44:58,83.30

18:44:59,83.79

18:45:00,84.28

18:45:01,83.79

18:45:02,83.79

18:45:03,84.28

18:45:04,84.28

18:45:05,84.77

18:45:06,84.77

18:45:07,83.79

18:45:08,84.77

18:45:09,85.25

18:45:10,85.25

18:45:11,84.28

18:45:12,85.25

18:45:13,85.25

18:45:14,84.77

18:45:15,85.74

18:45:16,85.74

18:45:17,85.25

18:45:18,85.74

18:45:19,86.23

18:45:20,86.23

18:45:21,86.23

18:45:22,86.23

18:45:23,87.21

18:45:24,86.72

18:45:25,86.23

18:45:26,86.23

18:45:27,86.72

18:45:28,87.21

18:45:29,87.70

18:45:30,86.72

18:45:31,87.21

18:45:32,87.70

18:45:33,87.70

18:45:34,88.18

18:45:35,88.18

18:45:36,88.18

18:45:37,87.70

18:45:38,88.18

18:45:39,88.18

18:45:40,88.18

18:45:41,88.67

18:45:42,88.67

18:45:43,89.16

18:45:44,89.16

18:45:45,88.67

18:45:46,89.16

18:45:47,89.65

18:45:48,89.16

18:45:49,89.65

18:45:50,89.65

18:45:51,90.14

18:45:52,90.14

18:45:53,90.14

18:45:54,90.14

18:45:55,90.14

18:45:56,90.63

18:45:57,90.63

18:45:58,90.63

18:45:59,90.63

18:46:00,90.63

18:46:01,90.63

18:46:02,90.63

18:46:03,90.63

18:46:04,91.60

18:46:05,90.63

18:46:06,91.60

18:46:07,92.09

18:46:08,91.60

18:46:09,92.09

18:46:10,92.58

18:46:11,92.09

18:46:12,92.09

18:46:13,92.58

18:46:14,92.58

18:46:15,93.07

18:46:16,93.55

18:46:17,93.55

18:46:18,94.04

18:46:19,94.04

18:46:20,93.55

18:46:21,94.53

18:46:22,94.04

18:46:23,94.53

18:46:24,95.51

18:46:25,95.02

18:46:26,95.02

18:46:27,95.51

18:46:28,96.00

18:46:29,95.51

18:46:30,96.00

18:46:31,95.51

18:46:32,96.00

18:46:33,96.48

18:46:34,96.48

18:46:35,96.00

18:46:36,95.51

18:46:37,96.48

18:46:38,96.48

18:46:39,96.97

18:46:40,96.97

18:46:41,97.46

18:46:42,96.97

18:46:43,97.46

18:46:44,97.46

18:46:45,97.46

18:46:46,97.95

18:46:47,97.95

18:46:48,98.44

18:46:49,97.95

18:46:50,98.44

18:46:51,99.90

18:46:52,98.44

18:46:53,97.95

18:46:54,98.93

18:46:55,99.41

18:46:56,99.41

18:46:57,99.90

18:46:58,99.90

18:46:59,99.90

18:47:00,100.88

18:47:01,100.88

18:47:02,100.88

18:47:03,101.37

18:47:04,101.37

18:47:05,100.39

18:47:06,101.37

18:47:07,102.34

18:47:08,102.34

18:47:09,102.34

18:47:10,102.34

18:47:11,102.83

18:47:12,102.83

18:47:13,102.34

18:47:14,103.32

18:47:15,103.81

18:47:16,102.83

18:47:17,103.32

18:47:18,103.32

18:47:19,103.81

18:47:20,103.32

18:47:21,104.30

18:47:22,104.79

18:47:23,104.79

18:47:24,104.79

18:47:25,104.30

18:47:26,104.79

18:47:27,104.79

18:47:28,104.79

18:47:29,103.32

18:47:30,106.25

18:47:31,104.79

18:47:32,105.27

18:47:33,104.79

18:47:34,105.27

18:47:35,105.76

18:47:36,105.76

18:47:37,105.27

18:47:38,105.76

18:47:39,105.27

18:47:40,105.76

18:47:41,105.27

18:47:42,105.27

18:47:43,106.25

18:47:44,106.25

18:47:45,106.25

18:47:46,106.25

18:47:47,106.25

18:47:48,106.25

18:47:49,106.25

18:47:50,106.25

18:47:51,105.27

